String Art Instructions
======================

Parameters:
- Total Nails: 200
- Shape: circle
- Output Size: 800px
- String Strength: 0.1
- Max Iterations: 2000
- Random Nails: 100
- White Background: False

Quadrant Layout:
- Blue: 12 o'clock (indices 150-199)
1678. Blue 47 -> Blue 29
1679. Blue 29 -> Yellow 35
1680. Yellow 35 -> Green 14
1681. Green 14 -> Yellow 25
1682. Yellow 25 -> Blue 30
1683. Blue 30 -> Red 39
1684. Red 39 -> Blue 47
1685. Blue 47 -> Blue 1
1686. Blue 1 -> Yellow 22
1687. Yellow 22 -> Red 12
1688. Red 12 -> Yellow 1
1689. Yellow 1 -> Red 33
1690. Red 33 -> Red 1
1691. Red 1 -> Green 39
1692. Green 39 -> Yellow 21
1693. Yellow 21 -> Yellow 3
1694. Yellow 3 -> Green 21
1695. Green 21 -> Blue 8
1696. Blue 8 -> Blue 44
1697. Blue 44 -> Red 32
1698. Red 32 -> Red 9
1699. Red 9 -> Blue 33
1700. Blue 33 -> Blue 3
1701. Blue 3 -> Yellow 17
1702. Yellow 17 -> Green 28
1703. Green 28 -> Green 3
1704. Green 3 -> Green 35
1705. Green 35 -> Yellow 14
1706. Yellow 14 -> Blue 7
1707. Blue 7 -> Green 28
1708. Green 28 -> Red 25
1709. Red 25 -> Red 49
1710. Red 49 -> Blue 10
1711. Blue 10 -> Red 5
1712. Red 5 -> Blue 40
1713. Blue 40 -> Yellow 14
1714. Yellow 14 -> Green 3
1715. Green 3 -> Yellow 26
1716. Yellow 26 -> Red 28
1717. Red 28 -> Green 1
1718. Green 1 -> Blue 6
1719. Blue 6 -> Red 13
1720. Red 13 -> Red 39
1721. Red 39 -> Green 16
1722. Green 16 -> Red 28
1723. Red 28 -> Blue 49
1724. Blue 49 -> Blue 33
1725. Blue 33 -> Red 28
1726. Red 28 -> Red 47
1727. Red 47 -> Yellow 16
1728. Yellow 16 -> Blue 4
1729. Blue 4 -> Red 1
1730. Red 1 -> Red 25
1731. Red 25 -> Green 38
1732. Green 38 -> Yellow 13
1733. Yellow 13 -> Yellow 43
1734. Yellow 43 -> Blue 28
1735. Blue 28 -> Yellow 2
1736. Yellow 2 -> Green 23
1737. Green 23 -> Yellow 13
1738. Yellow 13 -> Green 41
1739. Green 41 -> Green 7
1740. Green 7 -> Blue 25
1741. Blue 25 -> Red 36
1742. Red 36 -> Red 15
1743. Red 15 -> Blue 1
1744. Blue 1 -> Green 6
1745. Green 6 -> Red 33
1746. Red 33 -> Yellow 16
1747. Yellow 16 -> Blue 21
1748. Blue 21 -> Yellow 23
1749. Yellow 23 -> Yellow 49
1750. Yellow 49 -> Red 31
1751. Red 31 -> Red 10
1752. Red 10 -> Red 49
1753. Red 49 -> Red 5
1754. Red 5 -> Blue 28
1755. Blue 28 -> Red 14
1756. Red 14 -> Yellow 14
1757. Yellow 14 -> Yellow 38
1758. Yellow 38 -> Blue 27
1759. Blue 27 -> Yellow 30
1760. Yellow 30 -> Blue 16
1761. Blue 16 -> Green 24
1762. Green 24 -> Red 37
1763. Red 37 -> Blue 18
1764. Blue 18 -> Yellow 29
1765. Yellow 29 -> Yellow 7
1766. Yellow 7 -> Green 3
1767. Green 3 -> Green 42
1768. Green 42 -> Yellow 46
1769. Yellow 46 -> Green 32
1770. Green 32 -> Green 3
1771. Green 3 -> Green 47
1772. Green 47 -> Blue 49
1773. Blue 49 -> Blue 31
1774. Blue 31 -> Red 45
1775. Red 45 -> Red 9
1776. Red 9 -> Blue 35
1777. Blue 35 -> Blue 47
1778. Blue 47 -> Red 49
1779. Red 49 -> Blue 15
1780. Blue 15 -> Yellow 31
1781. Yellow 31 -> Yellow 6
1782. Yellow 6 -> Green 30
1783. Green 30 -> Blue 3
1784. Blue 3 -> Blue 39
1785. Blue 39 -> Red 6
1786. Red 6 -> Red 25
1787. Red 25 -> Green 20
1788. Green 20 -> Blue 5
1789. Blue 5 -> Red 28
1790. Red 28 -> Blue 39
1791. Blue 39 -> Blue 10
1792. Blue 10 -> Red 44
1793. Red 44 -> Green 19
1794. Green 19 -> Yellow 20
1795. Yellow 20 -> Blue 24
1796. Blue 24 -> Yellow 40
1797. Yellow 40 -> Yellow 5
1798. Yellow 5 -> Yellow 24
1799. Yellow 24 -> Green 50
1800. Green 50 -> Blue 27
1801. Blue 27 -> Blue 49
1802. Blue 49 -> Yellow 6
1803. Yellow 6 -> Yellow 20
1804. Yellow 20 -> Blue 6
1805. Blue 6 -> Blue 32
1806. Blue 32 -> Blue 46
1807. Blue 46 -> Green 28
1808. Green 28 -> Yellow 13
1809. Yellow 13 -> Red 49
1810. Red 49 -> Red 31
1811. Red 31 -> Red 14
1812. Red 14 -> Blue 49
1813. Blue 49 -> Red 33
1814. Red 33 -> Red 19
1815. Red 19 -> Blue 31
1816. Blue 31 -> Red 41
1817. Red 41 -> Red 10
1818. Red 10 -> Blue 13
1819. Blue 13 -> Blue 39
1820. Blue 39 -> Yellow 8
1821. Yellow 8 -> Green 2
1822. Green 2 -> Yellow 35
1823. Yellow 35 -> Red 39
1824. Red 39 -> Green 14
1825. Green 14 -> Green 39
1826. Green 39 -> Blue 5
1827. Blue 5 -> Green 3
1828. Green 3 -> Yellow 3
1829. Yellow 3 -> Green 11
1830. Green 11 -> Green 46
1831. Green 46 -> Green 4
1832. Green 4 -> Green 27
1833. Green 27 -> Yellow 10
1834. Yellow 10 -> Green 39
1835. Green 39 -> Green 13
1836. Green 13 -> Red 29
1837. Red 29 -> Blue 2
1838. Blue 2 -> Yellow 21
1839. Yellow 21 -> Blue 35
1840. Blue 35 -> Blue 1
1841. Blue 1 -> Green 11
1842. Green 11 -> Red 1
1843. Red 1 -> Red 26
1844. Red 26 -> Yellow 16
1845. Yellow 16 -> Yellow 36
1846. Yellow 36 -> Red 5
1847. Red 5 -> Blue 41
1848. Blue 41 -> Blue 8
1849. Blue 8 -> Red 20
1850. Red 20 -> Red 45
1851. Red 45 -> Yellow 26
1852. Yellow 26 -> Yellow 49
1853. Yellow 49 -> Green 39
1854. Green 39 -> Blue 39
1855. Blue 39 -> Green 2
1856. Green 2 -> Red 6
1857. Red 6 -> Red 45
1858. Red 45 -> Red 29
1859. Red 29 -> Red 49
1860. Red 49 -> Yellow 16
1861. Yellow 16 -> Yellow 5
1862. Yellow 5 -> Green 31
1863. Green 31 -> Yellow 10
1864. Yellow 10 -> Blue 17
1865. Blue 17 -> Green 34
1866. Green 34 -> Blue 50
1867. Blue 50 -> Blue 25
1868. Blue 25 -> Green 1
1869. Green 1 -> Yellow 39
1870. Yellow 39 -> Yellow 7
1871. Yellow 7 -> Yellow 23
1872. Yellow 23 -> Blue 1
1873. Blue 1 -> Blue 41
1874. Blue 41 -> Red 15
1875. Red 15 -> Green 45
1876. Green 45 -> Green 21
1877. Green 21 -> Green 3
1878. Green 3 -> Green 31
1879. Green 31 -> Red 5
1880. Red 5 -> Red 21
1881. Red 21 -> Red 31
1882. Red 31 -> Blue 23
1883. Blue 23 -> Yellow 43
1884. Yellow 43 -> Blue 47
1885. Blue 47 -> Blue 39
1886. Blue 39 -> Red 36
1887. Red 36 -> Green 28
1888. Green 28 -> Yellow 33
1889. Yellow 33 -> Green 15
1890. Green 15 -> Green 38
1891. Green 38 -> Yellow 18
1892. Yellow 18 -> Blue 16
1893. Blue 16 -> Yellow 37
1894. Yellow 37 -> Blue 39
1895. Blue 39 -> Red 23
1896. Red 23 -> Red 2
1897. Red 2 -> Green 1
1898. Green 1 -> Blue 10
1899. Blue 10 -> Yellow 32
1900. Yellow 32 -> Yellow 2
1901. Yellow 2 -> Yellow 16
1902. Yellow 16 -> Blue 26
1903. Blue 26 -> Green 21
1904. Green 21 -> Red 38
1905. Red 38 -> Blue 38
1906. Blue 38 -> Blue 14
1907. Blue 14 -> Yellow 32
1908. Yellow 32 -> Blue 5
1909. Blue 5 -> Yellow 47
1910. Yellow 47 -> Yellow 24
1911. Yellow 24 -> Green 41
1912. Green 41 -> Yellow 16
1913. Yellow 16 -> Red 2
1914. Red 2 -> Blue 35
1915. Blue 35 -> Blue 49
1916. Blue 49 -> Yellow 27
1917. Yellow 27 -> Yellow 13
1918. Yellow 13 -> Yellow 5
1919. Yellow 5 -> Red 48
1920. Red 48 -> Red 33
1921. Red 33 -> Red 5
1922. Red 5 -> Red 26
1923. Red 26 -> Green 3
1924. Green 3 -> Blue 1
1925. Blue 1 -> Green 21
1926. Green 21 -> Yellow 16
1927. Yellow 16 -> Green 25
1928. Green 25 -> Yellow 1
1929. Yellow 1 -> Blue 41
1930. Blue 41 -> Blue 49
1931. Blue 49 -> Green 12
1932. Green 12 -> Red 41
1933. Red 41 -> Red 31
1934. Red 31 -> Red 17
1935. Red 17 -> Green 3
1936. Green 3 -> Green 19
1937. Green 19 -> Green 41
1938. Green 41 -> Yellow 5
1939. Yellow 5 -> Green 33
1940. Green 33 -> Green 2
1941. Green 2 -> Yellow 36
1942. Yellow 36 -> Red 47
1943. Red 47 -> Blue 35
1944. Blue 35 -> Blue 11
1945. Blue 11 -> Red 48
1946. Red 48 -> Blue 31
1947. Blue 31 -> Blue 7
1948. Blue 7 -> Yellow 5
1949. Yellow 5 -> Yellow 43
1950. Yellow 43 -> Yellow 16
1951. Yellow 16 -> Green 15
1952. Green 15 -> Yellow 24
1953. Yellow 24 -> Yellow 13
1954. Yellow 13 -> Blue 10
1955. Blue 10 -> Blue 2
1956. Blue 2 -> Red 38
1957. Red 38 -> Blue 31
1958. Blue 31 -> Red 22
1959. Red 22 -> Red 5
1960. Red 5 -> Blue 33
1961. Blue 33 -> Yellow 28
1962. Yellow 28 -> Yellow 10
1963. Yellow 10 -> Red 5
1964. Red 5 -> Red 17
1965. Red 17 -> Green 9
1966. Green 9 -> Red 41
1967. Red 41 -> Yellow 42
1968. Yellow 42 -> Blue 33
1969. Blue 33 -> Red 29
1970. Red 29 -> Green 41
1971. Green 41 -> Green 21
1972. Green 21 -> Yellow 10
1973. Yellow 10 -> Green 41
1974. Green 41 -> Green 5
1975. Green 5 -> Green 31
1976. Green 31 -> Blue 22
1977. Blue 22 -> Green 10
1978. Green 10 -> Green 42
1979. Green 42 -> Red 25
1980. Red 25 -> Red 35
1981. Red 35 -> Red 17
1982. Red 17 -> Blue 49
1983. Blue 49 -> Red 5
1984. Red 5 -> Blue 42
1985. Blue 42 -> Red 11
1986. Red 11 -> Red 27
1987. Red 27 -> Green 7
1988. Green 7 -> Blue 27
1989. Blue 27 -> Blue 39
1990. Blue 39 -> Red 18
1991. Red 18 -> Red 27
1992. Red 27 -> Red 49
1993. Red 49 -> Red 39
1994. Red 39 -> Red 31
1995. Red 31 -> Red 39
1996. Red 39 -> Red 47
1997. Red 47 -> Green 19
1998. Green 19 -> Blue 43
1999. Blue 43 -> Red 35
2000. Red 35 -> Red 28
